taxon_name,tipo,source_information
Eubalaena glacialis,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Eucalyptus,['Introduced'],[]
Eucalyptus camaldulensis,['Exótica'],['Exocat ']
Eucalyptus dalrympleana,['Exótica'],['Exocat ']
Eucalyptus globulus,"['Exótica', 'Introduced']",['Exocat ']
Eucalyptus gunnii,['Exótica'],['Exocat ']
Eucalyptus viminalis,['Exótica'],['Exocat ']
Eudromias morinellus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Euonymus japonicus,"['Exótica', 'Introduced']",['Exocat ']
Euphorbia chamaesyce subsp. chamaesyce,['Exótica'],['Exocat ']
Euphorbia davidii,['Exótica'],['Exocat ']
Euphorbia dentata,['Exótica'],['Exocat ']
Euphorbia esula subsp. tommasiniana,['Exótica'],['Exocat ']
Euphorbia glyptosperma,['Exótica'],['Exocat ']
Euphorbia humifusa,['Exótica'],['Exocat ']
Euphorbia hypericifolia,['Exótica'],['Exocat ']
Euphorbia lathyris,"['Exótica', 'Introduced']",['Exocat ']
Euphorbia maculata,['Exótica'],['Exocat ']
Euphorbia marginata,['Exótica'],['Exocat ']
Euphorbia nutans,['Exótica'],['Exocat ']
Euphorbia prostrata,['Exótica'],['Exocat ']
Euphorbia serpens,['Exótica'],['Exocat ']
Euplectes afer,['Exótica'],['Exocat ']
Euplectes franciscanus,['Exótica'],['Exocat ']
Euplectes hordeaceus,['Exótica'],['Exocat ']
Euplectes jacksoni,['Exótica'],['Exocat ']
Euplectes macroura,['Exótica'],['Exocat ']
Euplectes nigroventris,['Exótica'],['Exocat ']
Euplectes orix,['Exótica'],['Exocat ']
Euplectes spp,['Introduced'],[]
Eupsittula aurea,['Exótica'],['Exocat ']
Eupsittula nana,['Exótica'],['Exocat ']
Euryops chrysanthemoides  E. pectinatus,['Exótica'],['Exocat ']
Euthynnus alletteratus,['Protegida'],[]
Euxesta pechumani,['Exótica'],['Exocat ']
FALCONIFORMES,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Fagonia cretica,['Exótica'],['Exocat ']
Fagopyrum esculentum,['Exótica'],['Exocat ']
Fagopyrum tataricum,['Exótica'],['Exocat ']
Falco biarmicus,['Exótica'],['Exocat ']
Falco cherrug,['Exótica'],['Exocat ']
Falco eleonorae,['En Peligro'],['Anexo II Conveni Barcelona']
Falco sparverius,['Exótica'],['Exocat ']
Fallopia baldschuanica,"['Exótica', 'Introduced']",['Exocat ']
Fallopia japonica,"['Exótica', 'Introduced']",['Exocat ']
Faxonius rusticus,['Introduced'],[]
Felicia filifolia,['Exótica'],['Exocat ']
Felis silvestris,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Ferrissia (Kincaidilla) fragilis,['Exótica'],['Exocat ']
Ferula communis subsp. communis,['Exótica'],['Exocat ']
Festuca stricta subsp. trachyphylla,['Exótica'],['Exocat ']
Festuca valesiaca,['Exótica'],['Exocat ']
Ficopomatus enigmaticus,"['Exótica', 'Introduced']",['Exocat ']
Ficus altissima,['Introduced'],[]
Ficus carica,"['Exótica', 'Introduced']",['Exocat ']
Ficus elastica,['Exótica'],['Exocat ']
Ficus rubiginosa,['Exótica'],['Exocat ']
Fimbristylis bisumbellata,['Exótica'],['Exocat ']
Fistularia commersonii,"['Exótica', 'Introduced']",['Exocat ']
Forsythia intermedia,['Exótica'],['Exocat ']
Forsythia suspensa,['Exótica'],['Exocat ']
Fragaria ananassa,['Exótica'],['Exocat ']
Fragaria intermedia,['Exótica'],['Exocat ']
Francolinus francolinus,['Exótica'],['Exocat ']
Frankliniella occidentalis,['Exótica'],['Exocat ']
Fraxinus americana,['Exótica'],['Exocat ']
Fraxinus ornus,['Exótica'],['Exocat ']
Fraxinus pennsylvanica,['Exótica'],['Exocat ']
Freesia leichtlinii  Freesia corymbosa,['Exótica'],['Exocat ']
Freesia leichtlinii subsp. alba,['Exótica'],['Exocat ']
Freesia refracta,"['Exótica', 'Introduced']",['Exocat ']
Fucus virsoides,['En Peligro'],['Anexo II Conveni Barcelona']
Fulica cristata,"['Exótica', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Exocat ']"
Fulvia fragilis,['Exótica'],['Exocat ']
Fundulus heteroclitus,"['Exótica', 'Introduced']",['Exocat ']
Gagea villosa,['Exótica'],['Exocat ']
Gaillardia aristata,['Exótica'],['Exocat ']
Galba cubensis,['Exótica'],['Exocat ']
Galega officinalis,['Exótica'],['Exocat ']
Galeorhinus galeus,"['En Peligro', 'Explotación reglamentada']","['Anexo III Conveni Barcelona', 'Anexo II Conveni Barcelona']"
Galerida theklae,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Galinsoga parviflora,"['Exótica', 'Introduced']",['Exocat ']
Galinsoga quadriradiata,['Exótica'],['Exocat ']
Galium tricornutum,['Exótica'],['Exocat ']
Gallinago media,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Gallus gallus var. domestica,['Exótica'],['Exocat ']
Gambusia,['Introduced'],[]
Gambusia affinis,['Introduced'],[]
Gambusia holbrooki,"['Exótica', 'Introduced']",['Exocat ']
Gamochaeta coarctata,['Exótica'],['Exocat ']
Gasteraloe beguinii,['Exótica'],['Exocat ']
Gasteria carinata,['Exótica'],['Exocat ']
Gazania linearis,['Exótica'],['Exocat ']
Gazania rigens,"['Exótica', 'Introduced']",['Exocat ']
Gazella dorcas,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Gazella subgutturosa,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Gelochelidon nilotica,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Genetta genetta,"['Exótica', 'Introduced']",['Exocat ']
Geodia hydronium,['En Peligro'],['Anexo II Conveni Barcelona']
Geopelia cuneata,['Exótica'],['Exocat ']
Gerardia savaglia,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Geronticus eremita,['Exótica'],['Exocat ']
Gibbula cineraria,['Exótica'],['Exocat ']
Gibbula nivosa,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Gibbula umbilicalis,['Exótica'],['Exocat ']
Ginkgo biloba,['Introduced'],[]
Gladiolus italicus,['Exótica'],['Exocat ']
Gladiolus tristis,['Introduced'],[]
Glandularia aristigera,['Exótica'],['Exocat ']
Glareolidae,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Glaucestrilda caerulescens,['Exótica'],['Exocat ']
Glebionis segetum,['Exótica'],['Exocat ']
Gleditsia triacanthos,['Exótica'],['Exocat ']
Globicephala macrorhynchus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Globicephala melas,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Globodera pallida,['Exótica'],['Exocat ']
Globodera rostochiensis,['Exótica'],['Exocat ']
Glottiphyllum longum,"['Exótica', 'Introduced']",['Exocat ']
Glycaspis brimblecombei,['Exótica'],['Exocat ']
Glycine max,['Exótica'],['Exocat ']
Gnaphalium purpureum,['Exótica'],['Exocat ']
Gnaphalium subfalcatum,['Exótica'],['Exocat ']
Gnathocerus cornutus,['Exótica'],['Exocat ']
Gobio lozanoi,['Exótica'],['Exocat ']
Gobio occitaniae,['Exótica'],['Exocat ']
Gomphocarpus fruticosus,"['Exótica', 'Introduced']",['Exocat ']
Gomphoneis minuta,['Exótica'],['Exocat ']
Gracilaria vermiculophylla,['Introduced'],[]
Gracula religiosa,['Exótica'],['Exocat ']
Grampus griseus,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Grapholita molesta,['Exótica'],['Exocat ']
Graptemys pseudogeographica,"['Exótica', 'Introduced']",['Exocat ']
Graptopetalum paraguayense,['Exótica'],['Exocat ']
Graptosedum,['Exótica'],['Exocat ']
Grateloupia turuturu,['Introduced'],[]
Gruidae,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Guizotia abyssinica,['Exótica'],['Exocat ']
Gulo gulo,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Gulosus aristotelis,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Gunnera tinctoria,['Introduced'],[]
Gymnammodytes semisquamatus,['Exótica'],['Exocat ']
Gymnocoronis-spilanthoides,['Introduced'],[]
Gymnogongrus crenulatus,['En Peligro'],['Anexo II Conveni Barcelona']
Gymnura altavela,['En Peligro'],['Anexo II Conveni Barcelona']
Gypsophila elegans,['Exótica'],['Exocat ']
Gypsophila paniculata,['Exótica'],['Exocat ']
Gyraulus chinensis,['Exótica'],['Exocat ']
Hakea sericea,['Introduced'],[]
Halcyon smyrnensis,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Haliaeetus leucocephalus,['Exótica'],['Exocat ']
Halogeton sativus,['Exótica'],['Exocat ']
Halyomorpha halys,"['Exótica', 'Introduced']",['Exocat ']
Harmonia axyridis,"['Exótica', 'Introduced']",['Exocat ']
Hawaiia minuscula,['Exótica'],['Exocat ']
Haworthiopsis attenuata,['Exótica'],['Exocat ']
Hedera,['Introduced'],[]
Hedera cf. algeriensis,['Exótica'],['Exocat ']
Hedera hibernica,['Exótica'],['Exocat ']
Hedera maroccana,['Exótica'],['Exocat ']
Hedychium gardnerianum,['Introduced'],[]
Hedysarum coronarium,['Exótica'],['Exocat ']
Helianthus annuus,"['Exótica', 'Introduced']",['Exocat ']
Helianthus laetiflorus,['Exótica'],['Exocat ']
Helianthus tuberosus,"['Exótica', 'Introduced']",['Exocat ']
Helichrysum orientale,['Exótica'],['Exocat ']
Heliotropium amplexicaule,['Exótica'],['Exocat ']
Heliotropium curassavicum,"['Exótica', 'Introduced']",['Exocat ']
Helix (Helix) lucorum,['Exótica'],['Exocat ']
Helix (Helix) melanostoma,['Exótica'],['Exocat ']
Helix (Helix) pomatia,['Exótica'],['Exocat ']
Helleborus niger,['Exótica'],['Exocat ']
Hemerocallis fulva,"['Exótica', 'Introduced']",['Exocat ']
Hemidactylus turcicus,"['Exótica', 'Introduced']",['Exocat ']
Hemiechinus auritus,['Introduced'],[]
Heptranchias perlo,['Explotación reglamentada'],['Anexo III Conveni Barcelona']
Heracleum mantegazzianum,"['Exótica', 'Introduced']",['Exocat ']
Heracleum persicum,['Introduced'],[]
Heracleum sosnowskyi,['Introduced'],[]
Hermetia illucens,"['Exótica', 'Introduced']",['Exocat ']
Hermodactylus tuberosus,['Exótica'],['Exocat ']
Herpestes javanicus,['Introduced'],[]
Herpetogramma licarsisalis,['Exótica'],['Exocat ']
Hesperis matronalis,['Exótica'],['Exocat ']
Heteranthera limosa,['Exótica'],['Exocat ']
Heteranthera reniformis,['Exótica'],['Exocat ']
Heterometrus longimanus,['Exótica'],['Exocat ']
Hibiscus trionum,"['Exótica', 'Introduced']",['Exocat ']
Hippeastrum vittatum,['Exótica'],['Exocat ']
Hippocampus guttulatus,"['Protegida', 'En Peligro']",['Anexo II Conveni Barcelona']
Hippocampus hippocampus,"['Protegida', 'En Peligro']",['Anexo II Conveni Barcelona']
Hippoglossus hippoglossus,['Protegida'],[]
Hippospongia communis,['Explotación reglamentada'],['Anexo III Conveni Barcelona']
Hishimonus hamatus,['Exótica'],['Exocat ']
Histrionicus histrionicus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Homarus gammarus,['Explotación reglamentada'],['Anexo III Conveni Barcelona']
Hoplopterus spinosus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Hordeum distichon,['Exótica'],['Exocat ']
Hordeum vulgare,['Exótica'],['Exocat ']
Hornera lichenoides,['En Peligro'],['Anexo II Conveni Barcelona']
Humulus lupulus,['Introduced'],[]
Humulus scandens,['Introduced'],[]
