taxon_name,tipo,source_information
Lindernia dubia,['Exótica'],['Exocat ']
Linepithema humile,"['Exótica', 'Introduced']",['Exocat ']
Linum grandiflorum,['Exótica'],['Exocat ']
Linum narbonense,['Introduced'],[]
Linum usitatissimum,"['Exótica', 'Introduced']",['Exocat ']
Lippia filiformis,['Introduced'],[]
Liquidambar orientalis,['Introduced'],[]
Liquidambar styraciflua,"['Exótica', 'Introduced']",['Exocat ']
Liriomyza trifolii,['Exótica'],['Exocat ']
Lissotriton boscai,['Exótica'],['Exocat ']
Lissotriton helveticus,['Exótica'],['Exocat ']
Lithobates catesbeianus,"['Exótica', 'Introduced']",['Exocat ']
Lithophaga lithophaga,['En Peligro'],['Anexo II Conveni Barcelona']
Lithophyllum byssoides,['En Peligro'],['Anexo II Conveni Barcelona']
Littorina littorea,['Exótica'],['Exocat ']
Littorina obtusata,['Exótica'],['Exocat ']
Lobelia laxiflora subsp. angustifolia,['Exótica'],['Exocat ']
Lolium multiflorum,['Exótica'],['Exocat ']
Lolium temulentum,['Exótica'],['Exocat ']
Lomentaria hakodatensis,['Exótica'],['Exocat ']
Lonchura atricapilla,['Exótica'],['Exocat ']
Lonchura maja,['Exótica'],['Exocat ']
Lonchura malacca,['Exótica'],['Exocat ']
Lonchura oryzivora,['Exótica'],['Exocat ']
Lonchura punctulata,['Exótica'],['Exocat ']
Lonchura striata var. domestica,['Exótica'],['Exocat ']
Lonicera fragrantissima,['Exótica'],['Exocat ']
