Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,ObjectId,PLATJA,ID1,LOC,Sectors,nombre_place,id_place
Castelldefels,,,,,,-1,0,-1,,,2566,Baixador,CF,8,CF08,Castelldefels CF08,524
Castelldefels,,,,,,-1,0,-1,,,2567,La Pineda Castelldefels,CF,35,CF35,Castelldefels CF35,522
Castelldefels,,,,,,-1,0,-1,,,2568,Baixador,CF,9,CF09,Castelldefels CF09,525
Castelldefels,,,,,,-1,0,-1,,,2569,Baixador,CF,10,CF10,Castelldefels CF10,527
Castelldefels,,,,,,-1,0,-1,,,2570,La Pineda Castelldefels,CF,34,CF34,Castelldefels CF34,528
Castelldefels,,,,,,-1,0,-1,,,2571,Baixador,CF,11,CF11,Castelldefels CF11,529
Castelldefels,,,,,,-1,0,-1,,,2572,Baixador,CF,12,CF12,Castelldefels CF12,530
Castelldefels,,,,,,-1,0,-1,,,2573,La Pineda Castelldefels,CF,33,CF33,Castelldefels CF33,532
Castelldefels,,,,,,-1,0,-1,,,2574,Baixador,CF,13,CF13,Castelldefels CF13,531
Castelldefels,,,,,,-1,0,-1,,,2575,Baixador,CF,14,CF14,Castelldefels CF14,535
Castelldefels,,,,,,-1,0,-1,,,2576,La Pineda Castelldefels,CF,32,CF32,Castelldefels CF32,533
Castelldefels,,,,,,-1,0,-1,,,2577,Baixador,CF,16,CF16,Castelldefels CF16,538
Castelldefels,,,,,,-1,0,-1,,,2578,Baixador,CF,17,CF17,Castelldefels CF17,539
Castelldefels,,,,,,-1,0,-1,,,2579,La Pineda Castelldefels,CF,31,CF31,Castelldefels CF31,534
Castelldefels,,,,,,-1,0,-1,,,2580,Lluminetes,CF,18,CF18,Castelldefels CF18,540
Castelldefels,,,,,,-1,0,-1,,,2581,Lluminetes,CF,19,CF19,Castelldefels CF19,541
Castelldefels,,,,,,-1,0,-1,,,2582,La Pineda Castelldefels,CF,30,CF30,Castelldefels CF30,545
Castelldefels,,,,,,-1,0,-1,,,2583,Lluminetes,CF,20,CF20,Castelldefels CF20,542
Castelldefels,,,,,,-1,0,-1,,,2585,Lluminetes,CF,21,CF21,Castelldefels CF21,543
Castelldefels,,,,,,-1,0,-1,,,2586,Lluminetes,CF,22,CF22,Castelldefels CF22,544
Castelldefels,,,,,,-1,0,-1,,,2587,Lluminetes,CF,23,CF23,Castelldefels CF23,546
Castelldefels,,,,,,-1,0,-1,,,2588,La Pineda Castelldefels,CF,29,CF29,Castelldefels CF29,547
Castelldefels,,,,,,-1,0,-1,,,2589,La Pineda Castelldefels,CF,24,CF24,Castelldefels CF24,548
